ID_avtorja,avtor,kraj_rojstva,leto_rojstva
4,Douglas Adams,"in Cambridge, England, The United Kingdom",1952
7,Bill Bryson,"in Des Moines, Polk County, Iowa, The United States",1951
16,Edith Wharton,"in New York City, NY, The United States",1862
18,Gary Paulsen,"in Minneapolis, Minnesota, The United States",1939
25,Patricia A. McKillip,"in Salem, Oregon, The United States",1948
26,Anne McCaffrey,"in Cambridge, Massachusetts, The United States",1926
40,John McPhee,"in Princeton, New Jersey, The United States",1931
58,Frank Herbert,"in Tacoma, Washington, The United States",1920
63,Bryce Courtenay,"in Johannesburg, South Africa",1933
106,Madeleine L'Engle,"in New York City, New York, The United States",1918
115,George Smoot,"in Yukon, Florida, The United States",1945
147,Henry Miller,"in Yorkville, Manhattan, New York City, The United States",1891
159,Henry James,"in New York, New York, The United States",1843
163,Marguerite Duras,,
197,Tom Robbins,"in Blowing Rock, North Carolina, The United States",1936
205,Robert A. Heinlein,"in Butler, MO, The United States",1907
214,Norton Juster,"in New York, New York, The United States",1929
233,Don DeLillo,"in Bronx, New York, The United States",1936
235,Thomas Pynchon,"in Glen Cove, Long Island, New York, The United States",1937
236,Harold Bloom,"in New York City, The United States",1930
238,Joan Didion,"in Sacramento, California, The United States",1934
256,Jared Diamond,"in Boston, The United States",1937
289,Eric Hobsbawm,"in Alexandria, Egypt",1917
293,Tom Stoppard,"in Zlín, Czech Republic",1937
306,William Golding,"in St. Columb Minor, Cornwall, The United Kingdom",1911
317,Sharyn McCrumb,"in Wilmington, North Carolina, The United States",
337,Walker Percy,"in Birmingham, Alabama, The United States",1916
399,Napoleon Hill,"in Appalachian Town, Southwest Virginia, The United States",1883
401,Robert M. Pirsig,"in Minneapolis, MN, The United States",1928
403,Beverly Cleary,"in McMinnville, Oregon, The United States",1916
419,Naomi Klein,"in Montreal, Quebec, Canada",1970
432,Ayn Rand,"in St. Petersburg, Russian Federation",1905
447,Bernard Malamud,"in Brooklyn, New York, The United States",1914
457,Anne Tyler,"in Minneapolis, Minnesota, The United States",1941
463,Philip Roth,"in Newark, New Jersey, The United States",1933
500,Jorge Luis Borges,"in Buenos Aires, Argentina",1899
545,Neal Stephenson,"in Fort Meade, MD, The United States",
566,Paulo Coelho,"in Rio de Janeiro, Brazil",
575,Robert   Harris,"in Nottingham, England, , The United Kingdom",
578,Mary Pope Osborne,"in Fort Sill, Oklahoma, The United States",1949
585,John Steinbeck,"in Salinas Valley, California, The United States",1902
589,Orson Scott Card,"in Richland, Washington, The United States",1951
600,Robert T. Kiyosaki,"in Hilo, Hawaii, The United States",1947
