ID_avtorja,avtor,kraj_rojstva,leto_rojstva
4,Douglas Adams,"Cambridge, England, The United Kingdom",1952
7,Bill Bryson,"Des Moines, Polk County, Iowa, The United States",1951
16,Edith Wharton,"New York City, NY, The United States",1862
18,Gary Paulsen,"Minneapolis, Minnesota, The United States",1939
25,Patricia A. McKillip,"Salem, Oregon, The United States",1948
26,Anne McCaffrey,"Cambridge, Massachusetts, The United States",1926
40,John McPhee,"Princeton, New Jersey, The United States",1931
58,Frank Herbert,"Tacoma, Washington, The United States",1920
63,Bryce Courtenay,"Johannesburg, South Africa",1933
106,Madeleine L'Engle,"New York City, New York, The United States",1918
115,George Smoot,"Yukon, Florida, The United States",1945
147,Henry Miller,"Yorkville, Manhattan, New York City, The United States",1891
159,Henry James,"New York, New York, The United States",1843
163,Marguerite Duras,,
197,Tom Robbins,"Blowing Rock, North Carolina, The United States",1936
205,Robert A. Heinlein,"Butler, MO, The United States",1907
214,Norton Juster,"New York, New York, The United States",1929
233,Don DeLillo,"Bronx, New York, The United States",1936
235,Thomas Pynchon,"Glen Cove, Long Island, New York, The United States",1937
236,Harold Bloom,"New York City, The United States",1930
238,Joan Didion,"Sacramento, California, The United States",1934
256,Jared Diamond,"Boston, The United States",1937
289,Eric Hobsbawm,"Alexandria, Egypt",1917
293,Tom Stoppard,"Zlín, Czech Republic",1937
306,William Golding,"St. Columb Minor, Cornwall, The United Kingdom",1911
317,Sharyn McCrumb,"Wilmington, North Carolina, The United States",
337,Walker Percy,"Birmingham, Alabama, The United States",1916
399,Napoleon Hill,"Appalachian Town, Southwest Virginia, The United States",1883
401,Robert M. Pirsig,"Minneapolis, MN, The United States",1928
403,Beverly Cleary,"McMinnville, Oregon, The United States",1916
419,Naomi Klein,"Montreal, Quebec, Canada",1970
432,Ayn Rand,"St. Petersburg, Russian Federation",1905
447,Bernard Malamud,"Brooklyn, New York, The United States",1914
457,Anne Tyler,"Minneapolis, Minnesota, The United States",1941
463,Philip Roth,"Newark, New Jersey, The United States",1933
500,Jorge Luis Borges,"Buenos Aires, Argentina",1899
545,Neal Stephenson,"Fort Meade, MD, The United States",
566,Paulo Coelho,"Rio de Janeiro, Brazil",
575,Robert   Harris,"Nottingham, England, , The United Kingdom",
578,Mary Pope Osborne,"Fort Sill, Oklahoma, The United States",1949
585,John Steinbeck,"Salinas Valley, California, The United States",1902
589,Orson Scott Card,"Richland, Washington, The United States",1951
600,Robert T. Kiyosaki,"Hilo, Hawaii, The United States",1947
614,Arthur Golden,"Chattanooga, Tennessee, The United States",1956
622,Gary Chapman,,
630,Dan Brown,"Exeter, New Hampshire, The United States",
704,Pearl S. Buck,"Hillsboro, West Virginia, The United States",1892
709,Margaret Craven,"Helena, Montana, The United States",1901
721,John Grisham,"Jonesboro, Arkansas, The United States",
722,Robert A. Caro,"New York, The United States",1935
755,Benjamin Graham,,1894
776,Michael   Lewis,"New Orleans, Louisiana, The United States",1960
848,John Gray,"Houston, Texas, The United States",1951
861,Jean M. Auel,"Chicago, Illinois, The United States",1936
908,Alessandro Baricco,"Turin, Italy",1958
996,Ted Hughes,"Mytholmroyd, West Yorkshire, The United Kingdom",1930
1049,Elie Wiesel,"Sighet, Romania",1928
1054,Beryl Markham,"Ashwell, The United Kingdom",1902
1055,Larry McMurtry,"Wichita Falls, Texas, The United States",1936
1194,Richard Dawkins,"Nairobi, Kenya",
1203,Andy Warhol,"Pittsburgh, Pennsylvania, The United States",1928
1209,Ford Madox Ford,"Merton, Surrey, England",1873
1235,Jon Krakauer,"Brookline, Massachusetts, The United States",
1237,Jung Chang,"Sichuan, China",1952
1238,Nelson DeMille,"New York, NY, The United States",
1240,Jack London,"San Francisco, California, The United States",1876
1244,Mark Twain,"Florida, Missouri, The United States",1835
1260,Michel Foucault,"Poitiers, France",1926
1265,Jane Austen,"Steventon Rectory, Hampshire, England",1775
1339,Jane Smiley,"Los Angeles, California, The United States",
1377,Raymond Chandler,"Chicago, Illinois, The United States",1888
1401,Stephen Hawking,"Oxford, The United Kingdom",1942
1404,Kip S. Thorne,,
1421,Leonard Peikoff,"Winnipeg, Manitoba, Canada",1915
1432,Michael Cunningham,"Cincinnati, Ohio, The United States",
1438,Walt Whitman,"West Hills, Huntington, Long Island, New York, The United States",1819
1439,Malcolm Gladwell,"London, England, The United Kingdom",1963
1455,Ernest Hemingway,"Oak Park, Illinois, The United States",1899
1462,Julian Barnes,"Leicester, The United Kingdom",1946
1466,Jean-Paul Sartre,"Paris, France",1905
1467,Jeffrey Eugenides,"Detroit, Michigan, The United States",1960
1538,Stephen R. Covey,"Salt Lake City, Utah, The United States",1932
1539,Dan Millman,"Los Angeles California, The United States",1946
1612,Jeffery Deaver,"Chicago, Illinois, The United States",
1630,Ray Bradbury,"Waukegan, Illinois, The United States",1920
1631,Geraldine McCaughrean,The United Kingdom,1951
1641,Nathaniel Philbrick,"Boston, The United States",
1654,Terry Pratchett,"Beaconsfield, Buckinghamshire, England, The United Kingdom",1948
1711,Thomas Merton,"Prades, France",1915
1728,Orhan Pamuk,"Istanbul, Turkey",1952
1730,Umberto Eco,"Alessandria, Italy",1932
1742,Jack Kerouac,"Lowell, Massachusetts, The United States",1922
1785,Mark Bittman,The United States,
