ID_knjige,url_knjige,naslov,url_avtorja,ID_avtorja,avtor,ocena,koliko_ocen,tocke,stevilo_glasov
2654,/book/show/2654.To_Kill_a_Mockingbird,To Kill a Mockingbird,https://www.goodreads.com/author/show/1825.Harper_Lee,1825,Harper Lee,4.27,"3,762,268","922,451","16,985"
5470,/book/show/5470.1984,1984,https://www.goodreads.com/author/show/3706.George_Orwell,3706,George Orwell,4.16,"2,436,028","854,324","8,710"
4671,/book/show/4671.The_Great_Gatsby,The Great Gatsby,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,3190,F. Scott Fitzgerald,3.90,"3,154,452","677,837","6,952"
3,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,1077326,J.K. Rowling,4.46,"5,620,014","666,525","6,821"
7613,/book/show/7613.Animal_Farm,Animal Farm,https://www.goodreads.com/author/show/3706.George_Orwell,3706,George Orwell,3.90,"2,245,159","463,178","4,856"
5907,/book/show/5907.The_Hobbit,The Hobbit,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,656983,J.R.R. Tolkien,4.26,"2,432,077","441,316","4,623"
48855,/book/show/48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl,https://www.goodreads.com/author/show/3720.Anne_Frank,3720,Anne Frank,4.12,"2,297,161","438,551","4,541"
578651,/book/show/578651.The_Catcher_in_the_Rye,The Catcher in the Rye,https://www.goodreads.com/author/show/819789.J_D_Salinger,819789,J.D. Salinger,3.80,"2,351,245","385,991","3,951"
17470674,/book/show/17470674-fahrenheit-451,Fahrenheit 451,https://www.goodreads.com/author/show/1630.Ray_Bradbury,1630,Ray Bradbury,3.98,"1,327,958","384,397","4,025"
2657,/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,https://www.goodreads.com/author/show/1825.Harper_Lee,1825,Harper Lee,4.27,"3,762,268","355,783","-4,048"
18114322,/book/show/18114322-the-grapes-of-wrath,The Grapes of Wrath,https://www.goodreads.com/author/show/585.John_Steinbeck,585,John Steinbeck,3.94,"619,584","351,578","3,674"
100915,/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/author/show/1069006.C_S_Lewis,1069006,C.S. Lewis,4.20,"1,809,331","348,831","3,657"
320,/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,13450,Gabriel García Márquez,4.05,"633,369","339,296","3,507"
5129,/book/show/5129.Brave_New_World,Brave New World,https://www.goodreads.com/author/show/3487.Aldous_Huxley,3487,Aldous Huxley,3.98,"1,208,460","330,434","3,491"
3241368,/book/show/3241368-the-little-prince-letter-to-a-hostage,The Little Prince &amp; Letter to a Hostage,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,1020792,Antoine de Saint-Exupéry,4.29,"1,034,810","325,208","3,357"
5107,/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,https://www.goodreads.com/author/show/819789.J_D_Salinger,819789,J.D. Salinger,3.80,"2,351,245","306,749","3,147"
18405,/book/show/18405.Gone_with_the_Wind,Gone with the Wind,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,11081,Margaret Mitchell,4.29,"971,789","302,410","3,162"
890,/book/show/890.Of_Mice_and_Men,Of Mice and Men,https://www.goodreads.com/author/show/585.John_Steinbeck,585,John Steinbeck,3.85,"1,668,604","292,840","3,133"
3636,/book/show/3636.The_Giver,The Giver,https://www.goodreads.com/author/show/2493.Lois_Lowry,2493,Lois Lowry,4.12,"1,459,325","281,767","2,946"
5,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,1077326,J.K. Rowling,4.55,"2,228,340","277,040","2,944"
2927579,/book/show/2927579-il-signore-delle-mosche,Il signore delle mosche,https://www.goodreads.com/author/show/306.William_Golding,306,William Golding,3.66,"1,847,165","268,988","2,892"
4981,/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut,2778055,Kurt Vonnegut,4.07,"981,078","261,020","2,778"
7604,/book/show/7604.Lolita,Lolita,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,5152,Vladimir Nabokov,3.89,"567,212","256,106","2,690"
4406,/book/show/4406.East_of_Eden,East of Eden,https://www.goodreads.com/author/show/585.John_Steinbeck,585,John Steinbeck,4.36,"368,626","229,875","2,414"
332613,/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,https://www.goodreads.com/author/show/7285.Ken_Kesey,7285,Ken Kesey,4.19,"544,939","220,492","2,373"
13,/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,https://www.goodreads.com/author/show/4.Douglas_Adams,4,Douglas Adams,4.38,"253,557","213,956","2,272"
929,/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha,https://www.goodreads.com/author/show/614.Arthur_Golden,614,Arthur Golden,4.09,"1,529,788","212,449","2,258"
38447,/book/show/38447.The_Handmaid_s_Tale,The Handmaid's Tale,https://www.goodreads.com/author/show/3472.Margaret_Atwood,3472,Margaret Atwood,4.09,"955,311","210,720","2,248"
49552,/book/show/49552.The_Stranger,The Stranger,https://www.goodreads.com/author/show/957894.Albert_Camus,957894,Albert Camus,3.97,"558,993","206,465","2,208"
34,/book/show/34.The_Fellowship_of_the_Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,656983,J.R.R. Tolkien,4.35,"2,029,069","205,664","2,233"
24178,/book/show/24178.Charlotte_s_Web,Charlotte's Web,https://www.goodreads.com/author/show/988142.E_B_White,988142,E.B. White,4.16,"1,205,250","197,376","2,157"
15881,/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,1077326,J.K. Rowling,4.40,"2,174,313","193,913","2,128"
11127,/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",https://www.goodreads.com/author/show/1069006.C_S_Lewis,1069006,C.S. Lewis,4.25,"439,344","193,431","2,100"
18131,/book/show/18131.A_Wrinkle_in_Time,"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/author/show/106.Madeleine_L_Engle,106,Madeleine L&#39;Engle,4.02,"811,563","192,769","2,062"
2165,/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,1455,Ernest Hemingway,3.75,"665,482","186,787","2,050"
375802,/book/show/375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",https://www.goodreads.com/author/show/589.Orson_Scott_Card,589,Orson Scott Card,4.30,"968,866","177,911","1,889"
370493,/book/show/370493.The_Giving_Tree,The Giving Tree,https://www.goodreads.com/author/show/435477.Shel_Silverstein,435477,Shel Silverstein,4.37,"792,571","172,589","1,889"
18512,/book/show/18512.The_Return_of_the_King,"The Return of the King (The Lord of the Rings, #3)",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,656983,J.R.R. Tolkien,4.52,"563,819","164,267","1,821"
14891,/book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,https://www.goodreads.com/author/show/2327917.Betty_Smith,2327917,Betty  Smith,4.25,"334,464","162,517","1,718"
6514,/book/show/6514.The_Bell_Jar,The Bell Jar,https://www.goodreads.com/author/show/4379.Sylvia_Plath,4379,Sylvia Plath,3.99,"493,584","162,223","1,754"
1617,/book/show/1617.Night,"Night (The Night Trilogy, #1)",https://www.goodreads.com/author/show/1049.Elie_Wiesel,1049,Elie Wiesel,4.31,"820,848","161,707","1,755"
15241,/book/show/15241.The_Two_Towers,"The Two Towers (The Lord of the Rings, #2)",https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,656983,J.R.R. Tolkien,4.43,"587,279","160,606","1,800"
76620,/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",https://www.goodreads.com/author/show/7717.Richard_Adams,7717,Richard  Adams,4.06,"331,923","152,476","1,646"
865,/book/show/865.The_Alchemist,The Alchemist,https://www.goodreads.com/author/show/566.Paulo_Coelho,566,Paulo Coelho,3.84,"1,654,633","146,706","1,594"
168642,/book/show/168642.In_Cold_Blood,In Cold Blood,https://www.goodreads.com/author/show/431149.Truman_Capote,431149,Truman Capote,4.06,"446,609","144,872","1,595"
